# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = code_5_model
# start_datetime = 2022-04-05 09:22:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 6000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838282
# output
#   file = E:\AGH\2022-1\2_Data_Analytics\lab2\samples\code_5-20220405112223_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.747781
# Diagonal elements of inverse mass matrix:
# 1.33379
-2.15423,0.981174,0.747781,2,3,0,2.20397,0.84933
-1.77463,0.990515,0.747781,1,3,0,2.35077,1.35331
-1.88698,0.950887,0.747781,2,3,0,2.51,1.06428
-1.97365,0.990345,0.747781,1,1,0,1.97387,0.971317
-1.79043,0.967025,0.747781,1,3,0,2.19771,1.61685
-1.79043,0.454701,0.747781,1,1,0,2.9777,1.61685
-1.77373,0.99715,0.747781,1,3,0,1.80878,1.36236
-2.14165,0.94151,0.747781,1,3,0,2.41534,0.856024
-2.66847,0.976472,0.747781,2,3,0,2.72139,0.678456
-1.7804,0.99996,0.747781,2,7,0,2.56468,1.31182
-2.3109,0.867523,0.747781,2,3,0,3.222,0.779691
-2.46784,0.992206,0.747781,1,1,0,2.47344,0.727981
-2.26602,1,0.747781,1,1,0,2.45782,0.797403
-2.02646,0.998678,0.747781,2,3,0,2.33525,0.928631
-2.86472,0.948576,0.747781,2,3,0,2.87,0.642082
-1.86958,1,0.747781,1,3,0,3.52249,1.08853
-1.9044,0.995798,0.747781,1,1,0,1.90947,1.04236
-2.15043,0.955233,0.747781,2,3,0,2.46585,0.85133
-1.85365,0.976729,0.747781,1,3,0,2.17803,1.11337
-1.79032,0.989493,0.747781,1,3,0,1.96864,1.61628
-1.86329,0.924895,0.747781,2,3,0,2.21832,1.86242
-2.12024,0.700245,0.747781,2,3,0,2.88529,0.867901
-3.85937,0.886645,0.747781,2,5,0,4.50086,4.49649
-2.01611,1,0.747781,1,1,0,2.98758,2.18874
-2.01611,0.000325714,0.747781,1,1,0,4.86955,2.18874
-2.06923,0.979179,0.747781,1,1,0,2.14271,2.28327
-1.77428,0.956087,0.747781,2,3,0,2.30777,1.35665
-1.96715,0.980294,0.747781,2,3,0,2.01281,2.09532
-2.08759,0.598981,0.747781,2,3,0,3.02514,0.88729
-2.18955,0.997231,0.747781,2,7,0,2.2859,2.47955
-2.0194,1,0.747781,2,7,0,2.21667,0.933911
-1.83541,0.988804,0.747781,1,3,0,2.01826,1.14596
