# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = code_5_model
# start_datetime = 2022-04-05 09:22:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 6000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838282
# output
#   file = E:\AGH\2022-1\2_Data_Analytics\lab2\samples\code_5-20220405112223_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.693489
# Diagonal elements of inverse mass matrix:
# 1.4716
-2.77567,1,0.693489,1,1,0,3.5137,3.27395
-2.11453,1,0.693489,1,1,0,2.56542,2.35962
-2.11453,0.224444,0.693489,1,1,0,3.33096,2.35962
-1.97364,1,0.693489,2,7,0,2.15185,0.971321
-1.94173,1,0.693489,2,7,0,1.97335,2.04365
-4.26969,0.447499,0.693489,2,3,0,4.42621,4.92427
-3.12831,0.758794,0.693489,2,3,0,4.33719,3.69257
-2.47399,1,0.693489,3,7,0,2.95324,0.726222
-2.33872,1,0.693489,1,1,0,2.47581,0.769444
-1.85313,0.603445,0.693489,2,3,0,3.29398,1.8352
-1.77081,0.998107,0.693489,1,3,0,1.8686,1.41429
-2.43692,0.829284,0.693489,1,3,0,3.24916,0.737095
-1.77236,0.983047,0.693489,1,3,0,3.02587,1.37937
-2.06702,0.943059,0.693489,2,3,0,2.51876,2.27945
-1.77086,0.941046,0.693489,2,3,0,2.35209,1.41195
-1.92354,0.966361,0.693489,1,3,0,2.03214,1.02048
-1.8071,0.948514,0.693489,2,3,0,2.30216,1.689
-4.59813,0.539893,0.693489,3,7,0,5.81452,0.522765
-10.5454,0.987724,0.693489,2,5,0,11.1524,0.500058
-9.29421,0.714285,0.693489,2,7,0,11.1144,0.500204
-6.69365,0.999998,0.693489,3,7,0,9.70649,0.502758
-4.22005,0.666667,0.693489,1,3,0,9.92545,0.533504
-2.1621,0.997921,0.693489,3,7,0,4.7034,2.43649
-2.48971,0.846662,0.693489,2,7,0,2.78715,0.721807
-1.82304,0.989341,0.693489,2,7,0,2.41589,1.17151
-2.43904,0.961679,0.693489,2,3,0,2.55431,2.84019
-1.92677,1,0.693489,1,1,0,2.25853,2.01196
-1.77514,1,0.693489,2,3,0,1.91061,1.34865
-1.83543,0.995227,0.693489,2,3,0,1.8362,1.78436
-1.85214,0.995327,0.693489,1,1,0,1.86491,1.83249
-1.81275,0.897218,0.693489,2,3,0,2.30604,1.70999
-1.81275,0.887658,0.693489,1,3,0,2.3593,1.70999
-1.96944,0.902376,0.693489,1,3,0,2.3648,0.975069
-1.77067,0.992278,0.693489,1,3,0,2.09273,1.43526
-1.81377,0.991334,0.693489,1,3,0,1.82766,1.71363
-1.83437,0.963112,0.693489,1,3,0,2.01837,1.14797
-1.77469,0.954259,0.693489,2,3,0,2.49664,1.35272
-1.7723,1,0.693489,1,1,0,1.77426,1.38024
-1.7723,0.966504,0.693489,1,3,0,1.99462,1.38024
-1.80069,0.969711,0.693489,2,3,0,2.29671,1.22929
-1.82714,0.996168,0.693489,1,1,0,1.82731,1.16266
-2.3998,0.961435,0.693489,2,3,0,2.47016,2.78636
-2.3998,0.148289,0.693489,1,1,0,3.75681,2.78636
-2.50279,0.998072,0.693489,3,7,0,2.50379,0.718216
-1.8824,0.994353,0.693489,1,3,0,2.75219,1.07041
-1.92709,0.996948,0.693489,2,7,0,1.96768,2.01266
-3.747,0.405757,0.693489,1,1,0,3.82939,4.3769
-4.9077,0.320966,0.693489,1,1,0,6.58194,5.56791
-2.17303,0.804179,0.693489,2,3,0,3.54408,2.45374
-1.81291,1,0.693489,2,3,0,2.10794,1.19538
-1.80177,0.989141,0.693489,1,3,0,1.92503,1.66786
-1.78581,0.999914,0.693489,2,7,0,1.80328,1.28421
-1.79613,0.998357,0.693489,1,1,0,1.79657,1.24402
-1.78207,1,0.693489,1,1,0,1.79385,1.30251
-1.78709,0.990619,0.693489,2,3,0,1.88246,1.59949
-1.78709,0.783804,0.693489,1,3,0,3.09037,1.59949
-2.63625,0.861019,0.693489,3,7,0,2.7017,3.09951
-2.37598,0.150343,0.693489,2,3,0,5.33195,0.756512
-2.46829,0.995929,0.693489,1,1,0,2.4869,0.72785
-2.58778,0.998485,0.693489,2,3,0,2.60249,0.696586
-2.39002,1,0.693489,1,1,0,2.58094,0.751856
-1.8381,0.993479,0.693489,1,3,0,2.62292,1.14081
-1.79142,0.989539,0.693489,1,3,0,1.95336,1.62174
-1.78662,0.883583,0.693489,3,7,0,2.34823,1.59692
-1.89747,0.908854,0.693489,2,3,0,2.37791,1.9465
-1.96451,0.978386,0.693489,1,1,0,1.98936,2.09007
-2.0118,0.998979,0.693489,2,7,0,2.01204,0.939728
-3.19402,0.90861,0.693489,2,7,0,3.20356,0.598515
-2.40922,0.865026,0.693489,1,3,0,3.40652,0.745671
-3.95566,0.919996,0.693489,1,3,0,5.29744,0.544005
-2.04951,0.629662,0.693489,3,7,0,5.22952,0.91217
-1.77363,1,0.693489,2,3,0,2.00699,1.36339
-1.97644,0.961757,0.693489,1,3,0,2.10182,0.968856
-2.14231,0.988262,0.693489,2,3,0,2.22514,0.85567
-2.24364,0.949609,0.693489,3,7,0,3.97267,0.806839
-2.31887,0.995902,0.693489,1,1,0,2.33687,0.7767
-2.04004,0.999235,0.693489,2,3,0,2.37178,0.918797
-1.84434,0.917289,0.693489,2,3,0,2.52149,1.81057
-1.84434,0.868283,0.693489,1,3,0,2.44309,1.81057
-1.88644,0.987785,0.693489,1,1,0,1.89811,1.92044
-1.88644,0.556957,0.693489,1,1,0,2.67475,1.92044
-1.88644,0.00229513,0.693489,1,1,0,4.82902,1.92044
-1.88644,0.245828,0.693489,1,1,0,3.28402,1.92044
-1.88644,0.74909,0.693489,1,1,0,2.3497,1.92044
-1.90876,0.999859,0.693489,2,7,0,1.90886,1.0372
-1.97954,0.992834,0.693489,1,1,0,1.9812,0.966155
-2.70401,0.95325,0.693489,2,3,0,2.70924,0.671117
-3.50305,0.984065,0.693489,2,3,0,3.53803,0.57069
-3.33171,1,0.693489,3,7,0,3.38362,0.58488
-3.18916,1,0.693489,1,1,0,3.35122,0.599037
-3.42512,0.996645,0.693489,1,1,0,3.42935,0.5768
-3.41311,1,0.693489,1,1,0,3.4968,0.57779
-3.77607,0.716769,0.693489,3,7,0,4.02687,4.40795
-1.93383,1,0.693489,2,3,0,2.94207,2.02706
-1.77966,0.985839,0.693489,1,3,0,2.01632,1.31616
-1.78091,0.94982,0.693489,3,7,0,2.26078,1.30889
-2.93819,0.887391,0.693489,3,7,0,2.94327,3.47035
-2.28832,1,0.693489,1,1,0,2.79789,2.62809
-2.28832,0.0795408,0.693489,1,1,0,3.88088,2.62809
-2.28832,0.481871,0.693489,1,1,0,3.06004,2.62809
-2.97517,0.685569,0.693489,1,1,0,3.19311,3.51415
-2.26002,0.219635,0.693489,2,3,0,5.23848,0.799892
-1.77332,0.981013,0.693489,1,3,0,2.7448,1.4962
-1.98268,0.954062,0.693489,2,3,0,2.23314,2.12574
-1.82847,1,0.693489,2,3,0,1.93811,1.76289
-3.54664,0.495549,0.693489,1,1,0,3.55738,4.16053
-1.79718,1,0.693489,1,1,0,2.90408,1.64842
-1.77172,0.704027,0.693489,2,3,0,3.20777,1.47146
-1.77065,0.998749,0.693489,2,3,0,1.78123,1.42876
-1.77099,0.999958,0.693489,2,3,0,1.77102,1.40712
-1.79824,0.614369,0.693489,3,7,0,4.24516,1.23701
-1.91556,0.846165,0.693489,3,7,0,3.31318,1.9875
-1.96134,0.861993,0.693489,1,3,0,2.58827,0.982478
-2.00921,0.9604,0.693489,1,3,0,2.61484,2.17598
-1.77122,0.965255,0.693489,2,3,0,2.21134,1.46008
-2.98195,0.899514,0.693489,2,7,0,3.11721,0.624476
-2.91463,1,0.693489,1,1,0,3.02146,0.634259
-1.81467,0.962465,0.693489,1,3,0,3.94845,1.19099
-1.7788,0.994502,0.693489,1,3,0,1.87364,1.5474
-2.97595,0.843211,0.693489,2,7,0,3.14091,0.625314
-2.92058,0.998357,0.693489,2,3,0,3.2388,0.633361
-3.04058,0.997513,0.693489,1,1,0,3.0647,0.616608
-1.79045,0.959186,0.693489,3,7,0,2.83961,1.61697
-1.78405,0.987293,0.693489,2,3,0,1.88213,1.29246
-1.89818,0.969973,0.693489,2,3,0,2.0354,1.04995
-1.84473,0.985504,0.693489,2,3,0,2.11611,1.12866
-1.9417,0.992308,0.693489,2,7,0,1.95691,2.04359
-2.43283,0.916558,0.693489,2,3,0,2.45893,2.83174
-1.85353,0.707373,0.693489,2,3,0,3.48123,1.11357
-2.32454,0.959119,0.693489,2,3,0,2.33283,0.774602
-1.81305,0.992432,0.693489,1,3,0,2.55746,1.19501
-1.77161,0.967717,0.693489,2,3,0,2.33866,1.39181
-2.14388,0.8131,0.693489,3,7,0,3.40118,0.854821
-1.85418,1,0.693489,2,3,0,2.13628,1.11249
-2.47439,0.945662,0.693489,2,3,0,2.47565,0.726109
-1.90357,0.996608,0.693489,1,3,0,2.66235,1.04336
-2.67504,0.906605,0.693489,1,3,0,3.15305,0.67707
-2.0199,0.894643,0.693489,1,3,0,2.87258,0.933533
-1.81153,0.987954,0.693489,1,3,0,2.04414,1.19887
-2.20148,0.949575,0.693489,1,3,0,2.39135,0.825842
-2.37018,0.996861,0.693489,2,3,0,2.37121,0.758467
-2.36275,0.996774,0.693489,2,3,0,2.58948,0.761005
-2.97208,0.981325,0.693489,2,3,0,3.02174,0.625858
-1.92791,1,0.693489,1,3,0,3.6941,1.01576
-1.77071,0.992964,0.693489,2,7,0,2.02139,1.4394
-1.9169,0.961506,0.693489,1,3,0,2.03603,1.02784
-1.77562,0.990241,0.693489,1,3,0,2.04835,1.52092
-2.01615,0.936742,0.693489,2,7,0,2.31268,0.936383
-1.93274,1,0.693489,1,1,0,2.0096,1.01064
-2.72664,0.930041,0.693489,2,3,0,2.74988,3.21331
-3.48861,0.442908,0.693489,3,7,0,4.98218,0.571781
-2.47372,0.997537,0.693489,1,3,0,3.91754,0.7263
-1.7811,0.977172,0.693489,1,3,0,3.01895,1.30784
-1.77322,0.998486,0.693489,1,3,0,1.79636,1.49492
-2.07806,0.920938,0.693489,1,3,0,2.43351,0.89327
-2.76444,0.851202,0.693489,1,3,0,3.01713,0.659447
